Linux 3.10.0-1160.el7.x86_64 (test-deid) 	西元2023年06月06日 	_x86_64_	(8 CPU)

11時15分47秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
16時39分47秒     all      0.98      0.00      0.71      0.00      0.00     98.30
16時40分47秒     all      1.02      0.00      0.92      0.00      0.00     98.06
16時41分47秒     all      1.04      0.00      0.85      0.07      0.00     98.04
16時42分47秒     all      0.94      0.00      0.85      0.00      0.00     98.20
16時43分47秒     all      0.96      0.00      0.80      0.02      0.00     98.22
16時44分47秒     all      0.88      0.00      0.75      0.00      0.00     98.37
16時45分47秒     all      0.93      0.00      0.75      0.01      0.00     98.31
16時46分47秒     all      0.88      0.00      0.73      0.00      0.00     98.39
16時47分47秒     all      0.97      0.00      0.77      0.07      0.00     98.19
16時48分47秒     all      0.97      0.00      0.74      0.02      0.00     98.28
16時49分47秒     all      0.90      0.00      0.71      0.00      0.00     98.38
16時50分47秒     all      1.01      0.00      0.93      0.00      0.00     98.06
16時51分47秒     all      0.94      0.00      0.71      0.00      0.00     98.34
16時52分47秒     all      0.93      0.00      0.84      0.00      0.00     98.22
16時53分47秒     all      1.24      0.00      0.82      0.06      0.00     97.88
16時54分47秒     all      1.10      0.00      0.98      0.00      0.00     97.92
16時55分47秒     all      1.01      0.00      0.84      0.01      0.00     98.15
16時56分47秒     all      0.95      0.00      0.84      0.01      0.00     98.20
16時57分47秒     all      0.92      0.00      0.75      0.00      0.00     98.33
16時58分47秒     all      0.98      0.00      0.83      0.01      0.00     98.18
16時59分47秒     all      0.99      0.00      0.78      0.00      0.00     98.22
17時00分47秒     all      1.03      0.00      0.83      0.00      0.00     98.14
17時01分47秒     all      1.11      0.00      0.92      0.00      0.00     97.96
17時02分47秒     all      1.00      0.00      0.92      0.00      0.00     98.08
17時03分47秒     all      1.05      0.00      0.77      0.00      0.00     98.17
17時04分47秒     all      1.86      0.00      0.92      0.00      0.00     97.21
17時05分47秒     all      1.69      0.00      0.80      0.00      0.00     97.51
17時06分47秒     all      1.66      0.00      0.91      0.01      0.00     97.42
17時07分47秒     all      0.89      0.00      0.71      0.00      0.00     98.40
17時08分47秒     all      0.90      0.00      0.71      0.14      0.00     98.25
17時09分47秒     all      2.54      0.00      1.08      0.10      0.00     96.27
17時10分47秒     all     19.62      0.00      5.59      0.56      0.00     74.23
17時11分47秒     all      0.97      0.00      0.80      0.00      0.00     98.22
17時12分47秒     all      0.97      0.00      0.84      0.00      0.00     98.19
17時13分47秒     all      0.91      0.00      0.66      0.00      0.00     98.42
17時14分47秒     all      0.90      0.00      0.69      0.00      0.00     98.41
17時15分47秒     all      5.40      0.00      1.55      0.66      0.00     92.39
17時16分47秒     all      1.04      0.00      0.79      0.06      0.00     98.10
17時17分47秒     all      0.97      0.00      0.82      0.00      0.00     98.20
17時18分47秒     all      1.04      0.00      0.75      0.00      0.00     98.21
17時19分47秒     all      3.99      0.00      1.50      0.12      0.00     94.39
17時20分47秒     all     17.07      0.00      5.26      1.28      0.00     76.39
17時21分47秒     all      6.45      0.00      1.35      0.13      0.00     92.07
17時22分47秒     all      1.15      0.00      1.05      0.01      0.00     97.79
17時23分47秒     all      1.15      0.00      0.87      0.01      0.00     97.96
17時24分47秒     all      1.00      0.00      0.77      0.00      0.00     98.22
17時25分47秒     all      1.11      0.00      0.83      0.00      0.00     98.06
17時26分47秒     all      1.05      0.00      0.78      0.00      0.00     98.17
17時27分47秒     all      1.08      0.00      0.87      0.02      0.00     98.04
17時28分47秒     all      1.06      0.00      0.83      0.01      0.00     98.10
17時29分47秒     all      1.04      0.00      0.77      0.00      0.00     98.19
17時30分47秒     all      1.04      0.00      0.80      0.01      0.00     98.14
17時31分47秒     all      1.34      0.00      0.90      0.04      0.00     97.72
17時32分47秒     all      1.29      0.00      1.14      0.03      0.00     97.54
17時33分47秒     all      1.05      0.00      0.79      0.00      0.00     98.16
17時34分47秒     all      3.60      0.00      1.24      0.08      0.00     95.08
17時35分47秒     all     20.11      0.00      5.39      0.20      0.00     74.31
17時36分47秒     all      1.30      0.00      0.96      0.04      0.00     97.69
17時37分47秒     all      1.09      0.00      0.79      0.01      0.00     98.11
17時38分48秒     all      3.83      0.00      1.56      0.08      0.00     94.53
17時39分48秒     all     19.68      0.00      5.60      0.08      0.00     74.65
17時40分48秒     all      1.31      0.00      0.97      0.01      0.00     97.70
17時41分48秒     all      1.05      0.00      0.80      0.01      0.00     98.14
17時42分48秒     all      1.03      0.00      0.86      0.01      0.00     98.10
17時43分48秒     all      0.89      0.00      0.68      0.00      0.00     98.42
17時44分48秒     all      0.97      0.00      0.70      0.01      0.00     98.33
17時45分48秒     all      0.88      0.00      0.71      0.00      0.00     98.41
17時46分48秒     all      0.97      0.00      0.72      0.00      0.00     98.31
17時47分48秒     all      0.87      0.00      0.72      0.00      0.00     98.41
17時48分48秒     all      0.89      0.00      0.72      0.00      0.00     98.38
