Linux 3.10.0-1160.el7.x86_64 (test-deid_2) 	西元2023年07月13日 	_x86_64_	(8 CPU)

10時18分21秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
15時32分21秒     all      0.34      0.00      0.07      0.00      0.00     99.59
15時33分21秒     all      0.36      0.00      0.16      0.09      0.00     99.39
15時34分21秒     all      0.37      0.00      0.08      0.01      0.00     99.54
15時35分21秒     all      0.29      0.00      0.06      0.00      0.00     99.65
15時36分21秒     all      0.34      0.00      0.07      0.00      0.00     99.60
15時37分21秒     all      0.28      0.00      0.06      0.00      0.00     99.66
15時38分21秒     all      0.36      0.00      0.08      0.00      0.00     99.56
15時39分21秒     all      0.28      0.00      0.06      0.00      0.00     99.66
15時40分21秒     all      0.38      0.00      0.11      0.00      0.00     99.50
15時41分21秒     all      0.29      0.00      0.06      0.00      0.00     99.66
15時42分21秒     all      0.33      0.00      0.06      0.00      0.00     99.61
15時43分21秒     all      0.34      0.00      0.16      0.00      0.00     99.50
15時44分21秒     all      0.34      0.00      0.06      0.00      0.00     99.60
15時45分21秒     all      0.28      0.00      0.06      0.00      0.00     99.66
15時46分21秒     all      0.33      0.00      0.07      0.00      0.00     99.60
15時47分21秒     all      0.27      0.00      0.06      0.00      0.00     99.66
15時48分21秒     all      0.38      0.00      0.08      0.00      0.00     99.54
15時49分21秒     all      0.28      0.00      0.06      0.00      0.00     99.66
15時50分21秒     all      0.36      0.00      0.11      0.00      0.00     99.52
15時51分21秒     all      0.27      0.00      0.06      0.00      0.00     99.67
15時52分21秒     all      0.37      0.00      0.09      0.05      0.00     99.49
15時53分21秒     all      0.34      0.00      0.15      0.00      0.00     99.50
15時54分21秒     all      0.33      0.00      0.07      0.00      0.00     99.60
15時55分21秒     all      0.32      0.00      0.08      0.00      0.00     99.60
15時56分21秒     all      0.33      0.00      0.07      0.00      0.00     99.60
15時57分21秒     all      0.28      0.00      0.05      0.00      0.00     99.67
15時58分21秒     all      0.35      0.00      0.08      0.00      0.00     99.58
15時59分21秒     all      0.28      0.00      0.05      0.00      0.00     99.67
16時00分21秒     all      0.36      0.00      0.12      0.00      0.00     99.52
16時01分21秒     all      0.34      0.00      0.11      0.00      0.00     99.55
16時02分21秒     all      0.34      0.00      0.10      0.00      0.00     99.56
16時03分21秒     all      0.34      0.00      0.15      0.00      0.00     99.50
16時04分21秒     all      0.33      0.00      0.07      0.00      0.00     99.60
16時05分21秒     all      0.28      0.00      0.06      0.00      0.00     99.66
16時06分21秒     all      0.33      0.00      0.08      0.00      0.00     99.58
16時07分21秒     all      0.28      0.00      0.06      0.00      0.00     99.66
16時08分21秒     all      0.34      0.00      0.08      0.00      0.00     99.58
16時09分21秒     all      0.28      0.00      0.06      0.00      0.00     99.66
16時10分21秒     all      0.38      0.00      0.11      0.00      0.00     99.50
16時11分21秒     all      0.27      0.00      0.06      0.00      0.00     99.67
16時12分21秒     all      0.37      0.00      0.09      0.07      0.00     99.47
16時13分21秒     all      0.33      0.00      0.16      0.00      0.00     99.51
16時14分21秒     all      0.33      0.00      0.06      0.00      0.00     99.61
16時15分21秒     all      0.31      0.00      0.06      0.01      0.00     99.62
16時16分21秒     all      0.34      0.00      0.07      0.00      0.00     99.59
16時17分21秒     all      0.27      0.00      0.06      0.00      0.00     99.67
16時18分21秒     all      0.34      0.00      0.08      0.00      0.00     99.59
16時19分21秒     all      0.29      0.00      0.06      0.00      0.00     99.65
16時20分21秒     all      0.36      0.00      0.12      0.00      0.00     99.52
16時21分21秒     all      0.28      0.00      0.06      0.00      0.00     99.66
16時22分21秒     all      0.33      0.00      0.06      0.00      0.00     99.61
16時23分21秒     all      0.34      0.00      0.15      0.00      0.00     99.51
16時24分21秒     all      0.35      0.00      0.06      0.00      0.00     99.59
16時25分21秒     all      0.28      0.00      0.08      0.00      0.00     99.64
16時26分21秒     all      0.32      0.00      0.07      0.00      0.00     99.61
16時27分21秒     all      0.27      0.00      0.06      0.00      0.00     99.67
16時28分21秒     all      0.35      0.00      0.08      0.00      0.00     99.57
16時29分21秒     all      0.31      0.00      0.06      0.01      0.00     99.62
16時30分21秒     all      0.35      0.00      0.11      0.00      0.00     99.54
16時31分21秒     all      0.33      0.00      0.08      0.05      0.00     99.54
16時32分21秒     all      0.34      0.00      0.06      0.00      0.00     99.60
16時33分21秒     all      0.35      0.00      0.16      0.00      0.00     99.49
16時34分21秒     all      0.33      0.00      0.06      0.00      0.00     99.61
16時35分21秒     all      0.27      0.00      0.06      0.00      0.00     99.66
16時36分21秒     all      0.33      0.00      0.07      0.00      0.00     99.60
16時37分21秒     all      0.28      0.00      0.06      0.00      0.00     99.66
16時38分21秒     all      0.34      0.00      0.07      0.00      0.00     99.59
16時39分21秒     all      0.28      0.00      0.06      0.00      0.00     99.66
16時40分21秒     all      0.38      0.00      0.11      0.00      0.00     99.51
16時41分21秒     all      0.27      0.00      0.06      0.00      0.00     99.67
16時42分21秒     all      0.40      0.00      0.18      0.00      0.00     99.42
16時43分21秒     all      0.35      0.00      0.16      0.00      0.00     99.49
16時44分21秒     all      0.33      0.00      0.07      0.00      0.00     99.60
16時45分21秒     all      0.28      0.00      0.06      0.00      0.00     99.66
16時46分21秒     all      0.38      0.00      0.07      0.11      0.00     99.44
16時47分21秒     all      0.30      0.00      0.09      0.00      0.00     99.61
16時48分21秒     all      0.35      0.00      0.08      0.00      0.00     99.57
16時49分21秒     all      0.28      0.00      0.05      0.00      0.00     99.66
16時50分21秒     all      0.36      0.00      0.11      0.00      0.00     99.53
